epoch: 43 || Train_reward: -12.707364803644706 || Final_Dis_Target:0.016116760147998847 || Continuity_Cost:0.33246727173616164 || Number_of_steps:100
epoch: 44 || Train_reward: -12.476335526733576 || Final_Dis_Target:0.015507758324787633 || Continuity_Cost:0.6075463797299584 || Number_of_steps:100
epoch: 45 || Train_reward: -13.278746618926894 || Final_Dis_Target:0.017597862134701645 || Continuity_Cost:0.8322663810099371 || Number_of_steps:100
epoch: 46 || Train_reward: -11.383668093259613 || Final_Dis_Target:0.012873221339564159 || Continuity_Cost:0.5322452311755409 || Number_of_steps:100
epoch: 47 || Train_reward: -12.652055637188582 || Final_Dis_Target:0.01597215510825231 || Continuity_Cost:0.5437674739794494 || Number_of_steps:100
epoch: 48 || Train_reward: -11.33280179825811 || Final_Dis_Target:0.012755467805883417 || Continuity_Cost:0.09361941853556038 || Number_of_steps:100
epoch: 49 || Train_reward: -13.044292315943409 || Final_Dis_Target:0.017004657861454962 || Continuity_Cost:0.08662086835217052 || Number_of_steps:100
epoch: 50 || Train_reward: -12.717235032292402 || Final_Dis_Target:0.01611977847336066 || Continuity_Cost:0.1434471176205277 || Number_of_steps:100
epoch: 51 || Train_reward: -12.896219099842744 || Final_Dis_Target:0.016582546333631015 || Continuity_Cost:0.180197116793142 || Number_of_steps:100
epoch: 52 || Train_reward: -12.755805760785844 || Final_Dis_Target:0.016242063548932775 || Continuity_Cost:0.2455770546714896 || Number_of_steps:100
epoch: 53 || Train_reward: -12.966058320719966 || Final_Dis_Target:0.016777572532128786 || Continuity_Cost:0.2050430051104429 || Number_of_steps:100
epoch: 54 || Train_reward: -13.066771857185257 || Final_Dis_Target:0.017053751355238293 || Continuity_Cost:0.322353330640638 || Number_of_steps:100
epoch: 55 || Train_reward: -11.93523145412975 || Final_Dis_Target:0.014153858064865044 || Continuity_Cost:0.28953622959007586 || Number_of_steps:100
epoch: 56 || Train_reward: -13.610611593428272 || Final_Dis_Target:0.018506559522847826 || Continuity_Cost:0.4658036361988198 || Number_of_steps:100
epoch: 57 || Train_reward: -13.653941231414398 || Final_Dis_Target:0.018583579329401773 || Continuity_Cost:0.5606554721289857 || Number_of_steps:100
epoch: 58 || Train_reward: -12.203711515691584 || Final_Dis_Target:0.014813430632762352 || Continuity_Cost:0.5268143009445139 || Number_of_steps:100
epoch: 59 || Train_reward: -11.562788669602178 || Final_Dis_Target:0.013272485845164857 || Continuity_Cost:0.484706372148696 || Number_of_steps:100
epoch: 60 || Train_reward: -12.933491733025383 || Final_Dis_Target:0.016657499088787216 || Continuity_Cost:0.17788291128352612 || Number_of_steps:100
epoch: 61 || Train_reward: -11.12839273000136 || Final_Dis_Target:0.012289785722121796 || Continuity_Cost:0.5220939755392745 || Number_of_steps:100
epoch: 62 || Train_reward: -11.832949672213344 || Final_Dis_Target:0.013934812080124051 || Continuity_Cost:0.2673077167676995 || Number_of_steps:100
epoch: 63 || Train_reward: -13.92256220358293 || Final_Dis_Target:0.01938153336937337 || Continuity_Cost:0.13034041698438817 || Number_of_steps:100
epoch: 64 || Train_reward: -12.92198765952984 || Final_Dis_Target:0.016646763206327905 || Continuity_Cost:0.20791838845894386 || Number_of_steps:100
epoch: 65 || Train_reward: -12.31633947438358 || Final_Dis_Target:0.015123932118325092 || Continuity_Cost:0.4336174798424615 || Number_of_steps:100
epoch: 66 || Train_reward: -11.94668487877205 || Final_Dis_Target:0.014210712836131274 || Continuity_Cost:0.4834180005025581 || Number_of_steps:100
epoch: 67 || Train_reward: -12.018048097380495 || Final_Dis_Target:0.014338882983348098 || Continuity_Cost:0.5936400725926843 || Number_of_steps:100
epoch: 68 || Train_reward: -12.92608139048107 || Final_Dis_Target:0.016667319910212294 || Continuity_Cost:0.5894999908611009 || Number_of_steps:100
epoch: 69 || Train_reward: -17.781208459137755 || Final_Dis_Target:0.03291489603116814 || Continuity_Cost:0.3546620798471007 || Number_of_steps:100
epoch: 70 || Train_reward: -12.223967698634533 || Final_Dis_Target:0.01489300402002227 || Continuity_Cost:0.4871812402635101 || Number_of_steps:100
epoch: 71 || Train_reward: -12.977888271517825 || Final_Dis_Target:0.018183604743740114 || Continuity_Cost:0.9072139478123992 || Number_of_steps:100
epoch: 72 || Train_reward: -22.388147466842966 || Final_Dis_Target:0.0592553891849691 || Continuity_Cost:1.0282842681958366 || Number_of_steps:100
epoch: 73 || Train_reward: -5.18763677632817 || Final_Dis_Target:0.0994811397762936 || Continuity_Cost:1.0212820982942632 || Number_of_steps:21
epoch: 74 || Train_reward: -24.88317669175711 || Final_Dis_Target:0.06678199634252736 || Continuity_Cost:0.2544774063356394 || Number_of_steps:100
epoch: 75 || Train_reward: -16.826332333973063 || Final_Dis_Target:0.029688160856062837 || Continuity_Cost:0.32674228779610875 || Number_of_steps:100
epoch: 76 || Train_reward: -18.150015497060238 || Final_Dis_Target:0.034735405578046157 || Continuity_Cost:0.44010534499735987 || Number_of_steps:100
epoch: 77 || Train_reward: -20.235445021256144 || Final_Dis_Target:0.04143867167813956 || Continuity_Cost:0.5955761367639761 || Number_of_steps:100
epoch: 78 || Train_reward: -18.784953025261117 || Final_Dis_Target:0.035233866087024744 || Continuity_Cost:0.6249548974962725 || Number_of_steps:100
epoch: 79 || Train_reward: -33.29012702584368 || Final_Dis_Target:0.11150769007077121 || Continuity_Cost:0.4120199079604585 || Number_of_steps:100
epoch: 80 || Train_reward: -56.15962462337506 || Final_Dis_Target:0.3781464809260795 || Continuity_Cost:0.2201967473613073 || Number_of_steps:100
epoch: 81 || Train_reward: -79.44972604095496 || Final_Dis_Target:0.6855565276205615 || Continuity_Cost:0.1466331921168763 || Number_of_steps:100
epoch: 82 || Train_reward: -42.7900798118632 || Final_Dis_Target:0.18761051641965223 || Continuity_Cost:0.12425115690546248 || Number_of_steps:100
epoch: 83 || Train_reward: -43.12292728159062 || Final_Dis_Target:0.18961312465356728 || Continuity_Cost:0.2283291074892396 || Number_of_steps:100
epoch: 84 || Train_reward: -51.5913915284502 || Final_Dis_Target:0.27926191003125367 || Continuity_Cost:0.4503918331354456 || Number_of_steps:100
epoch: 85 || Train_reward: -33.317013075575666 || Final_Dis_Target:0.10893479957888336 || Continuity_Cost:0.33044799539713243 || Number_of_steps:100
epoch: 86 || Train_reward: -52.506352035143635 || Final_Dis_Target:0.28605414769219284 || Continuity_Cost:0.4806743663155819 || Number_of_steps:100
epoch: 87 || Train_reward: -34.55434180221932 || Final_Dis_Target:0.1195550554496301 || Continuity_Cost:0.2905439725387366 || Number_of_steps:100
epoch: 88 || Train_reward: -45.95338567878445 || Final_Dis_Target:0.21953460539379016 || Continuity_Cost:0.36078694178682563 || Number_of_steps:100
epoch: 89 || Train_reward: -35.19863001440995 || Final_Dis_Target:0.11458118941509801 || Continuity_Cost:0.3757229525408451 || Number_of_steps:100
epoch: 90 || Train_reward: -45.201948157693955 || Final_Dis_Target:0.2081803972921043 || Continuity_Cost:0.43765556605991185 || Number_of_steps:100
epoch: 91 || Train_reward: -58.01922154387875 || Final_Dis_Target:0.34971381209148694 || Continuity_Cost:0.35518711222011196 || Number_of_steps:100
epoch: 92 || Train_reward: -69.19034638765089 || Final_Dis_Target:0.49173195117794655 || Continuity_Cost:0.28372902844876746 || Number_of_steps:100
epoch: 93 || Train_reward: -41.176232932174806 || Final_Dis_Target:0.14402307659808541 || Continuity_Cost:0.4293351237145045 || Number_of_steps:100
epoch: 94 || Train_reward: -6.601525510329644 || Final_Dis_Target:0.9018016915578746 || Continuity_Cost:0.4877870561727267 || Number_of_steps:8
epoch: 95 || Train_reward: -5.965426195008776 || Final_Dis_Target:0.7088408888584495 || Continuity_Cost:0.4803794007319206 || Number_of_steps:8
epoch: 96 || Train_reward: -6.398585483410862 || Final_Dis_Target:0.8563937440334823 || Continuity_Cost:0.22184364676167181 || Number_of_steps:8
epoch: 97 || Train_reward: -6.6831229877438005 || Final_Dis_Target:0.902783487183339 || Continuity_Cost:0.21342307705841768 || Number_of_steps:8
epoch: 98 || Train_reward: -6.138088580018079 || Final_Dis_Target:0.6570947576094716 || Continuity_Cost:0.6295902620937635 || Number_of_steps:9
epoch: 99 || Train_reward: -7.192866680795396 || Final_Dis_Target:0.938932984661318 || Continuity_Cost:0.15797957819307418 || Number_of_steps:9
epoch: 100 || Train_reward: -6.851869700316389 || Final_Dis_Target:0.9488037681592685 || Continuity_Cost:0.36339103521963007 || Number_of_steps:8
epoch: 101 || Train_reward: -46.17376572635172 || Final_Dis_Target:0.19893614259379086 || Continuity_Cost:0.4724139483903527 || Number_of_steps:100
epoch: 102 || Train_reward: -4.891496857370903 || Final_Dis_Target:0.8893287135841575 || Continuity_Cost:0.5455284965872358 || Number_of_steps:6
epoch: 103 || Train_reward: -6.430408894014924 || Final_Dis_Target:0.7227285825212677 || Continuity_Cost:1.0193155388968833 || Number_of_steps:8
epoch: 104 || Train_reward: -49.10078160313969 || Final_Dis_Target:0.22611507952669782 || Continuity_Cost:0.4788710149462082 || Number_of_steps:100
epoch: 105 || Train_reward: -3.9496339203616477 || Final_Dis_Target:0.9608188063176837 || Continuity_Cost:0.24708239585480074 || Number_of_steps:5
epoch: 106 || Train_reward: -5.114937813669075 || Final_Dis_Target:0.9551861317504456 || Continuity_Cost:0.1403929553925818 || Number_of_steps:6
epoch: 107 || Train_reward: -5.02297519982897 || Final_Dis_Target:0.9427008156251733 || Continuity_Cost:0.19113184865064095 || Number_of_steps:6
epoch: 108 || Train_reward: -3.874132670127123 || Final_Dis_Target:0.9135270176863792 || Continuity_Cost:0.16478890855118028 || Number_of_steps:5
epoch: 109 || Train_reward: -3.9234879701631336 || Final_Dis_Target:0.9030716002794383 || Continuity_Cost:0.5013798085608706 || Number_of_steps:5
epoch: 110 || Train_reward: -4.625913134092645 || Final_Dis_Target:0.788913323986146 || Continuity_Cost:0.19806431154451498 || Number_of_steps:6
epoch: 111 || Train_reward: -4.904303390621665 || Final_Dis_Target:0.8657998111123347 || Continuity_Cost:0.3726226619295754 || Number_of_steps:6
epoch: 112 || Train_reward: -5.085672412430007 || Final_Dis_Target:0.9403890511484603 || Continuity_Cost:0.10500008432280386 || Number_of_steps:6
epoch: 113 || Train_reward: -5.785908834560625 || Final_Dis_Target:0.9674336333979412 || Continuity_Cost:0.15199623051165256 || Number_of_steps:7
epoch: 114 || Train_reward: -4.654271634796249 || Final_Dis_Target:0.7764847804521662 || Continuity_Cost:0.3160293378997653 || Number_of_steps:6
epoch: 115 || Train_reward: -4.805297880981023 || Final_Dis_Target:0.8760361853872847 || Continuity_Cost:0.1827584818362418 || Number_of_steps:6
epoch: 116 || Train_reward: -4.540269201864552 || Final_Dis_Target:0.7040704950119349 || Continuity_Cost:0.49664290945215006 || Number_of_steps:6
epoch: 117 || Train_reward: -3.7795291176474164 || Final_Dis_Target:0.8549815642315091 || Continuity_Cost:0.2077874704587133 || Number_of_steps:5
epoch: 118 || Train_reward: -5.5685806156898625 || Final_Dis_Target:0.8208770349129222 || Continuity_Cost:0.7764372102282168 || Number_of_steps:7
epoch: 119 || Train_reward: -4.738895826476237 || Final_Dis_Target:0.8273060076782137 || Continuity_Cost:0.48234434340279975 || Number_of_steps:6
epoch: 120 || Train_reward: -4.976437790424014 || Final_Dis_Target:0.8716787294051809 || Continuity_Cost:0.23402512068702 || Number_of_steps:6
epoch: 121 || Train_reward: -4.042432062553208 || Final_Dis_Target:1.0143988336471053 || Continuity_Cost:0.07995045171354132 || Number_of_steps:5
epoch: 122 || Train_reward: -54.54137134615921 || Final_Dis_Target:0.2838263635329867 || Continuity_Cost:0.42864077076959584 || Number_of_steps:100
epoch: 123 || Train_reward: -4.30288102951745 || Final_Dis_Target:0.6571916624213008 || Continuity_Cost:0.3445118882118971 || Number_of_steps:6
epoch: 124 || Train_reward: -4.826876700484332 || Final_Dis_Target:0.793764340188176 || Continuity_Cost:0.08725785656260601 || Number_of_steps:6
epoch: 125 || Train_reward: -4.547598116061126 || Final_Dis_Target:0.772868116011654 || Continuity_Cost:0.30197003059078625 || Number_of_steps:6
epoch: 126 || Train_reward: -4.737386936726588 || Final_Dis_Target:0.8111055393529796 || Continuity_Cost:0.1823224605065152 || Number_of_steps:6
epoch: 127 || Train_reward: -3.79299506750026 || Final_Dis_Target:0.8567845962699412 || Continuity_Cost:0.052979317942894344 || Number_of_steps:5
epoch: 128 || Train_reward: -4.173683008648067 || Final_Dis_Target:0.5994959795248948 || Continuity_Cost:0.6085934877874668 || Number_of_steps:6
epoch: 129 || Train_reward: -3.932715475530955 || Final_Dis_Target:0.4971408483344553 || Continuity_Cost:0.2351821752171713 || Number_of_steps:6
epoch: 130 || Train_reward: -4.8414174300697095 || Final_Dis_Target:0.6768667181387052 || Continuity_Cost:0.20090742163932437 || Number_of_steps:7
epoch: 131 || Train_reward: -5.198196570418494 || Final_Dis_Target:0.7855363764603875 || Continuity_Cost:0.5233078719903926 || Number_of_steps:7
epoch: 132 || Train_reward: -4.7957045945309105 || Final_Dis_Target:0.5818930659027209 || Continuity_Cost:0.7779534198079474 || Number_of_steps:7
epoch: 133 || Train_reward: -4.154856112788208 || Final_Dis_Target:0.626451661487935 || Continuity_Cost:0.27243532284050703 || Number_of_steps:6
epoch: 134 || Train_reward: -4.492945869998377 || Final_Dis_Target:0.6876882092215332 || Continuity_Cost:0.12882185404489507 || Number_of_steps:6
epoch: 135 || Train_reward: -3.866139999673886 || Final_Dis_Target:0.45247057822386366 || Continuity_Cost:0.6468749382860799 || Number_of_steps:6
epoch: 136 || Train_reward: -4.349671458111818 || Final_Dis_Target:0.6859002419956901 || Continuity_Cost:0.44634524383634155 || Number_of_steps:6
epoch: 137 || Train_reward: -4.2096523290690255 || Final_Dis_Target:0.6151348083856405 || Continuity_Cost:0.08547876981429656 || Number_of_steps:6
epoch: 138 || Train_reward: -3.9949917677309847 || Final_Dis_Target:0.5292724660009537 || Continuity_Cost:0.21931041561175046 || Number_of_steps:6
epoch: 139 || Train_reward: -4.637358425178073 || Final_Dis_Target:0.7850419759953754 || Continuity_Cost:0.14482670242617393 || Number_of_steps:6
epoch: 140 || Train_reward: -3.9276231575136777 || Final_Dis_Target:0.5176458915654596 || Continuity_Cost:0.3754394695725304 || Number_of_steps:6
epoch: 141 || Train_reward: -3.4025875186284136 || Final_Dis_Target:0.34597437249933766 || Continuity_Cost:0.37522156458540346 || Number_of_steps:6
epoch: 142 || Train_reward: -3.4291088680483623 || Final_Dis_Target:0.33438804141201534 || Continuity_Cost:0.24297819527766698 || Number_of_steps:6
epoch: 143 || Train_reward: -3.359921243823968 || Final_Dis_Target:0.3508116357334892 || Continuity_Cost:0.2082851055384873 || Number_of_steps:6
epoch: 144 || Train_reward: -3.410133295056669 || Final_Dis_Target:0.3625230227454158 || Continuity_Cost:0.2648289080724021 || Number_of_steps:6
epoch: 145 || Train_reward: -3.2725673341661503 || Final_Dis_Target:0.3379914283813258 || Continuity_Cost:0.2067795605453806 || Number_of_steps:6
epoch: 146 || Train_reward: -3.064833047652859 || Final_Dis_Target:0.25651843852708067 || Continuity_Cost:0.14045866512964425 || Number_of_steps:6
epoch: 147 || Train_reward: -2.7999304155073665 || Final_Dis_Target:0.22086420937882337 || Continuity_Cost:0.11934192380636922 || Number_of_steps:6
epoch: 148 || Train_reward: -2.8844102788723083 || Final_Dis_Target:0.24715785710993815 || Continuity_Cost:0.15890782953804955 || Number_of_steps:6
epoch: 149 || Train_reward: -2.9500954830055437 || Final_Dis_Target:0.2491313529245837 || Continuity_Cost:0.0939700615694718 || Number_of_steps:6
epoch: 150 || Train_reward: -2.9102095257577787 || Final_Dis_Target:0.23698152028581235 || Continuity_Cost:0.05350024378372091 || Number_of_steps:6
epoch: 151 || Train_reward: -2.877697468324127 || Final_Dis_Target:0.23860103994228812 || Continuity_Cost:0.16270951477709097 || Number_of_steps:6
epoch: 152 || Train_reward: -2.9206592538454768 || Final_Dis_Target:0.23729125448794733 || Continuity_Cost:0.08438966382806842 || Number_of_steps:6
epoch: 153 || Train_reward: -3.1040078022882294 || Final_Dis_Target:0.29176519491792563 || Continuity_Cost:0.25646986719165255 || Number_of_steps:6
epoch: 154 || Train_reward: -3.1384007439205166 || Final_Dis_Target:0.2333652777470756 || Continuity_Cost:0.39057854816258014 || Number_of_steps:7
epoch: 155 || Train_reward: -2.8001097356643583 || Final_Dis_Target:0.22097164101538072 || Continuity_Cost:0.12756741641202166 || Number_of_steps:6
epoch: 156 || Train_reward: -4.189375563376055 || Final_Dis_Target:0.24798250112698253 || Continuity_Cost:0.10288046062703424 || Number_of_steps:9
epoch: 157 || Train_reward: -11.316521645657334 || Final_Dis_Target:0.21671072442641154 || Continuity_Cost:0.1485515344561906 || Number_of_steps:25
epoch: 158 || Train_reward: -14.52965711978227 || Final_Dis_Target:0.21032294808147478 || Continuity_Cost:0.1491785371491548 || Number_of_steps:32
epoch: 159 || Train_reward: -46.225194766146 || Final_Dis_Target:0.21810581547027766 || Continuity_Cost:0.1271794560719622 || Number_of_steps:100
epoch: 160 || Train_reward: -46.331522945378055 || Final_Dis_Target:0.21976200869291254 || Continuity_Cost:0.37379608724391655 || Number_of_steps:100
epoch: 161 || Train_reward: -44.82997936967486 || Final_Dis_Target:0.20497112182005378 || Continuity_Cost:0.3546385426831692 || Number_of_steps:100
epoch: 162 || Train_reward: -48.05232273567034 || Final_Dis_Target:0.2360411802094172 || Continuity_Cost:0.25937534705382204 || Number_of_steps:100
epoch: 163 || Train_reward: -46.02965788847939 || Final_Dis_Target:0.21608916015783325 || Continuity_Cost:0.20749641624394255 || Number_of_steps:100
epoch: 164 || Train_reward: -47.36830508760216 || Final_Dis_Target:0.22946310870414874 || Continuity_Cost:0.26440679752502527 || Number_of_steps:100
epoch: 165 || Train_reward: -44.57204157910172 || Final_Dis_Target:0.19981878456964186 || Continuity_Cost:0.41287661164279615 || Number_of_steps:100
epoch: 166 || Train_reward: -48.12845190808737 || Final_Dis_Target:0.23688764450472274 || Continuity_Cost:0.5979815257714288 || Number_of_steps:100
epoch: 167 || Train_reward: -45.231826794015404 || Final_Dis_Target:0.2065780024119161 || Continuity_Cost:0.6147694326291688 || Number_of_steps:100
epoch: 168 || Train_reward: -4.441619648814448 || Final_Dis_Target:0.2881387543090083 || Continuity_Cost:0.17827843057214018 || Number_of_steps:9
epoch: 169 || Train_reward: -48.15952270642668 || Final_Dis_Target:0.23765805010777225 || Continuity_Cost:0.5778398360573884 || Number_of_steps:100
epoch: 170 || Train_reward: -49.39495008438029 || Final_Dis_Target:0.24982883651448162 || Continuity_Cost:0.6599574609958916 || Number_of_steps:100
epoch: 171 || Train_reward: -50.542346745595665 || Final_Dis_Target:0.2612783131443134 || Continuity_Cost:0.5628405430875233 || Number_of_steps:100
epoch: 172 || Train_reward: -53.15457542774137 || Final_Dis_Target:0.288781587525504 || Continuity_Cost:0.36202117614589724 || Number_of_steps:100
epoch: 173 || Train_reward: -46.907198638876935 || Final_Dis_Target:0.21279865213008983 || Continuity_Cost:0.520892134231167 || Number_of_steps:100
epoch: 174 || Train_reward: -51.46669209630547 || Final_Dis_Target:0.26855309074836325 || Continuity_Cost:0.3429619962897048 || Number_of_steps:100
epoch: 175 || Train_reward: -48.37860552403504 || Final_Dis_Target:0.23937597590974158 || Continuity_Cost:0.40307266783993334 || Number_of_steps:100
epoch: 176 || Train_reward: -51.89965883764799 || Final_Dis_Target:0.2758934589655364 || Continuity_Cost:0.26800384770181734 || Number_of_steps:100
epoch: 177 || Train_reward: -42.914931253658104 || Final_Dis_Target:0.18666161013247592 || Continuity_Cost:0.5213456059528786 || Number_of_steps:100
epoch: 178 || Train_reward: -49.57852970522709 || Final_Dis_Target:0.2520347382910646 || Continuity_Cost:0.36157478355118977 || Number_of_steps:100
epoch: 179 || Train_reward: -52.04351432340278 || Final_Dis_Target:0.2809469094497014 || Continuity_Cost:0.30703230406179716 || Number_of_steps:100
epoch: 180 || Train_reward: -46.239048268115056 || Final_Dis_Target:0.21073953247387875 || Continuity_Cost:0.2877412850051066 || Number_of_steps:100
epoch: 181 || Train_reward: -43.28431547112658 || Final_Dis_Target:0.19319139801902036 || Continuity_Cost:0.42646088432484464 || Number_of_steps:100
epoch: 182 || Train_reward: -43.125075195178255 || Final_Dis_Target:0.18906821157357698 || Continuity_Cost:0.32262080172199553 || Number_of_steps:100
epoch: 183 || Train_reward: -44.36050829687576 || Final_Dis_Target:0.19785394207757204 || Continuity_Cost:0.4336666046348735 || Number_of_steps:100
epoch: 184 || Train_reward: -49.794118978460965 || Final_Dis_Target:0.2565776610557377 || Continuity_Cost:0.4722154050198811 || Number_of_steps:100
epoch: 185 || Train_reward: -43.58298568590776 || Final_Dis_Target:0.1908882590664903 || Continuity_Cost:0.4430510158683562 || Number_of_steps:100
epoch: 186 || Train_reward: -44.03049490666921 || Final_Dis_Target:0.19658094317951047 || Continuity_Cost:0.58407222730057 || Number_of_steps:100
epoch: 187 || Train_reward: -46.68332285972258 || Final_Dis_Target:0.21899155167087844 || Continuity_Cost:0.7711232248779152 || Number_of_steps:100
epoch: 188 || Train_reward: -44.63840294547688 || Final_Dis_Target:0.2031860492707361 || Continuity_Cost:0.34815318654887945 || Number_of_steps:100
epoch: 189 || Train_reward: -48.53280769976711 || Final_Dis_Target:0.2413542143836038 || Continuity_Cost:0.6631143396560004 || Number_of_steps:100
epoch: 190 || Train_reward: -43.948874902346795 || Final_Dis_Target:0.1967578074332764 || Continuity_Cost:0.7661955136792903 || Number_of_steps:100
