epoch: 39 || Test_Reward: 29.34462876149789 || Final_Distance_to_Target: 0.008721587427557062 || Continuity_Cost: 0.4445571918040514 || Episode_Timesteps: 2
epoch: 40 || Test_Reward: 29.348895210469806 || Final_Distance_to_Target: 0.0079001810858887 || Continuity_Cost: 0.7410936523228884 || Episode_Timesteps: 2
epoch: 41 || Test_Reward: 29.34865433116815 || Final_Distance_to_Target: 0.007947962025585382 || Continuity_Cost: 0.7097355555742979 || Episode_Timesteps: 2
epoch: 42 || Test_Reward: 29.338088454285927 || Final_Distance_to_Target: 0.009956140958265774 || Continuity_Cost: 0.2353973686695099 || Episode_Timesteps: 2
epoch: 43 || Test_Reward: 29.35067638783624 || Final_Distance_to_Target: 0.007588716237288308 || Continuity_Cost: 0.7474809885025024 || Episode_Timesteps: 2
epoch: 44 || Test_Reward: 29.34761977520568 || Final_Distance_to_Target: 0.007999443598138973 || Continuity_Cost: 0.1601887051947415 || Episode_Timesteps: 2
epoch: 45 || Test_Reward: 29.35103598111395 || Final_Distance_to_Target: 0.007532886336704589 || Continuity_Cost: 1.0767396539449692 || Episode_Timesteps: 2
epoch: 46 || Test_Reward: 29.348513951316036 || Final_Distance_to_Target: 0.007509454629432432 || Continuity_Cost: 0.04469059931579977 || Episode_Timesteps: 2
epoch: 47 || Test_Reward: 29.351237625070116 || Final_Distance_to_Target: 0.007502815240175186 || Continuity_Cost: 1.0956748388707638 || Episode_Timesteps: 2
epoch: 48 || Test_Reward: 29.351084749466075 || Final_Distance_to_Target: 0.007533513762936289 || Continuity_Cost: 1.453501358628273 || Episode_Timesteps: 2
epoch: 49 || Test_Reward: 29.351315030891783 || Final_Distance_to_Target: 0.0074793609724866 || Continuity_Cost: 1.2433401308953762 || Episode_Timesteps: 2
