epoch: 43 || Train_reward: -5.203445953089806 || Final_Dis_Target:0.8874611387417666 || Continuity_Cost:0.014759165060240775 || Number_of_steps:7
epoch: 44 || Train_reward: -5.204096152046171 || Final_Dis_Target:0.8877501706156741 || Continuity_Cost:0.014757706958334893 || Number_of_steps:7
epoch: 45 || Train_reward: -5.2038457531006985 || Final_Dis_Target:0.8875976672058338 || Continuity_Cost:0.014749038382433355 || Number_of_steps:7
epoch: 46 || Train_reward: -5.204453323245026 || Final_Dis_Target:0.8878028356180292 || Continuity_Cost:0.014755931624677032 || Number_of_steps:7
epoch: 47 || Train_reward: -5.204491867894367 || Final_Dis_Target:0.8878226427318724 || Continuity_Cost:0.014753923460375518 || Number_of_steps:7
epoch: 48 || Train_reward: -5.203948076318598 || Final_Dis_Target:0.887648208882224 || Continuity_Cost:0.014758012548554689 || Number_of_steps:7
epoch: 49 || Train_reward: -5.204845357880817 || Final_Dis_Target:0.8880014008457258 || Continuity_Cost:0.014756929886061698 || Number_of_steps:7
epoch: 50 || Train_reward: -5.204359212559639 || Final_Dis_Target:0.8877517532376308 || Continuity_Cost:0.014757686585653573 || Number_of_steps:7
epoch: 51 || Train_reward: -5.203924074207372 || Final_Dis_Target:0.88759742748581 || Continuity_Cost:0.014761026250198483 || Number_of_steps:7
epoch: 52 || Train_reward: -5.204502821842097 || Final_Dis_Target:0.887917312824667 || Continuity_Cost:0.014760989870410413 || Number_of_steps:7
epoch: 53 || Train_reward: -5.2042239920296005 || Final_Dis_Target:0.887761957999953 || Continuity_Cost:0.014752014249097556 || Number_of_steps:7
epoch: 54 || Train_reward: -5.2040023244323725 || Final_Dis_Target:0.8876547930798968 || Continuity_Cost:0.014759488112758845 || Number_of_steps:7
epoch: 55 || Train_reward: -5.2042613816271555 || Final_Dis_Target:0.8877555993079284 || Continuity_Cost:0.01475777680752799 || Number_of_steps:7
epoch: 56 || Train_reward: -5.204186008416999 || Final_Dis_Target:0.8877026513138373 || Continuity_Cost:0.014751323033124208 || Number_of_steps:7
epoch: 57 || Train_reward: -5.203438460730359 || Final_Dis_Target:0.8875761760751182 || Continuity_Cost:0.014752741844858974 || Number_of_steps:7
epoch: 58 || Train_reward: -5.203864167876184 || Final_Dis_Target:0.8876313330906342 || Continuity_Cost:0.014754338189959526 || Number_of_steps:7
epoch: 59 || Train_reward: -5.203605749276503 || Final_Dis_Target:0.8876250860576984 || Continuity_Cost:0.014758289034944028 || Number_of_steps:7
epoch: 60 || Train_reward: -5.203793390776994 || Final_Dis_Target:0.8876298053862876 || Continuity_Cost:0.014756924065295607 || Number_of_steps:7
epoch: 61 || Train_reward: -5.203454339229685 || Final_Dis_Target:0.8874908257869569 || Continuity_Cost:0.014751411799807101 || Number_of_steps:7
epoch: 62 || Train_reward: -5.2043549292374 || Final_Dis_Target:0.8878242564030026 || Continuity_Cost:0.014750599802937359 || Number_of_steps:7
epoch: 63 || Train_reward: -5.20390326289745 || Final_Dis_Target:0.8876887754166083 || Continuity_Cost:0.01476260949857533 || Number_of_steps:7
epoch: 64 || Train_reward: -5.203850973466334 || Final_Dis_Target:0.8876824656577467 || Continuity_Cost:0.014755410666111857 || Number_of_steps:7
epoch: 65 || Train_reward: -5.2044379260827265 || Final_Dis_Target:0.8877985758856608 || Continuity_Cost:0.014753379218745977 || Number_of_steps:7
epoch: 66 || Train_reward: -5.203957609182022 || Final_Dis_Target:0.8876820156220175 || Continuity_Cost:0.014756272139493376 || Number_of_steps:7
epoch: 67 || Train_reward: -5.204788983317398 || Final_Dis_Target:0.8879323094039373 || Continuity_Cost:0.01475977769587189 || Number_of_steps:7
epoch: 68 || Train_reward: -5.204141255399586 || Final_Dis_Target:0.8877143806830825 || Continuity_Cost:0.01475240133004263 || Number_of_steps:7
epoch: 69 || Train_reward: -5.203787990992189 || Final_Dis_Target:0.8876056005868858 || Continuity_Cost:0.01475201133871451 || Number_of_steps:7
epoch: 70 || Train_reward: -5.203593032014517 || Final_Dis_Target:0.8875472944631811 || Continuity_Cost:0.014752340211998671 || Number_of_steps:7
epoch: 71 || Train_reward: -5.203709853761361 || Final_Dis_Target:0.8876458098257002 || Continuity_Cost:0.014755372831132263 || Number_of_steps:7
epoch: 72 || Train_reward: -5.203368185140919 || Final_Dis_Target:0.8874872904282861 || Continuity_Cost:0.01474934397265315 || Number_of_steps:7
epoch: 73 || Train_reward: -5.20448327118439 || Final_Dis_Target:0.8877801586403258 || Continuity_Cost:0.01475494063924998 || Number_of_steps:7
epoch: 74 || Train_reward: -5.204935292072996 || Final_Dis_Target:0.8880688124427832 || Continuity_Cost:0.014756050950381905 || Number_of_steps:7
epoch: 75 || Train_reward: -5.203792323762661 || Final_Dis_Target:0.887742093877885 || Continuity_Cost:0.01475693570682779 || Number_of_steps:7
epoch: 76 || Train_reward: -5.203963187569094 || Final_Dis_Target:0.8877110478160213 || Continuity_Cost:0.01476147590437904 || Number_of_steps:7
epoch: 77 || Train_reward: -5.204036944823308 || Final_Dis_Target:0.8876004525842245 || Continuity_Cost:0.014751976414117962 || Number_of_steps:7
epoch: 78 || Train_reward: -5.204318523532077 || Final_Dis_Target:0.8877948406144259 || Continuity_Cost:0.014758626639377326 || Number_of_steps:7
epoch: 79 || Train_reward: -5.20395250952405 || Final_Dis_Target:0.8877059139117398 || Continuity_Cost:0.014752971765119582 || Number_of_steps:7
epoch: 80 || Train_reward: -5.203834635983771 || Final_Dis_Target:0.8875833100823152 || Continuity_Cost:0.014752389688510448 || Number_of_steps:7
epoch: 81 || Train_reward: -5.203740487743931 || Final_Dis_Target:0.8875600173097828 || Continuity_Cost:0.014752145216334611 || Number_of_steps:7
epoch: 82 || Train_reward: -5.204278912606945 || Final_Dis_Target:0.8877395757919077 || Continuity_Cost:0.014758645556867123 || Number_of_steps:7
epoch: 83 || Train_reward: -5.205146755758283 || Final_Dis_Target:0.8880365523282294 || Continuity_Cost:0.014754623407498002 || Number_of_steps:7
epoch: 84 || Train_reward: -5.204734147042687 || Final_Dis_Target:0.8879440034885961 || Continuity_Cost:0.014766161621082574 || Number_of_steps:7
epoch: 85 || Train_reward: -5.203731019776517 || Final_Dis_Target:0.8875494228351217 || Continuity_Cost:0.014751277922187 || Number_of_steps:7
epoch: 86 || Train_reward: -5.2040451603441 || Final_Dis_Target:0.887693557616614 || Continuity_Cost:0.014758472389075905 || Number_of_steps:7
epoch: 87 || Train_reward: -5.204584632967063 || Final_Dis_Target:0.8878394290226126 || Continuity_Cost:0.014762210776098073 || Number_of_steps:7
epoch: 88 || Train_reward: -5.204297341905837 || Final_Dis_Target:0.8877931799772358 || Continuity_Cost:0.014757250028196722 || Number_of_steps:7
epoch: 89 || Train_reward: -5.204236382698934 || Final_Dis_Target:0.8877995406291107 || Continuity_Cost:0.014762234059162438 || Number_of_steps:7
epoch: 90 || Train_reward: -5.204968855745157 || Final_Dis_Target:0.8879777074547719 || Continuity_Cost:0.014761342026758939 || Number_of_steps:7
epoch: 91 || Train_reward: -5.204181984893294 || Final_Dis_Target:0.887679889851553 || Continuity_Cost:0.0147572485730052 || Number_of_steps:7
epoch: 92 || Train_reward: -5.204805872231272 || Final_Dis_Target:0.8880238230987639 || Continuity_Cost:0.01477016630815342 || Number_of_steps:7
epoch: 93 || Train_reward: -5.204893794550058 || Final_Dis_Target:0.8879527460362636 || Continuity_Cost:0.014761991042178124 || Number_of_steps:7
epoch: 94 || Train_reward: -5.203847320641101 || Final_Dis_Target:0.8876675652935089 || Continuity_Cost:0.014757388271391392 || Number_of_steps:7
epoch: 95 || Train_reward: -5.204392038992056 || Final_Dis_Target:0.8878169398740678 || Continuity_Cost:0.014750788977835327 || Number_of_steps:7
epoch: 96 || Train_reward: -5.204585858312537 || Final_Dis_Target:0.8879580217760299 || Continuity_Cost:0.014764232037123293 || Number_of_steps:7
epoch: 97 || Train_reward: -5.204189017486476 || Final_Dis_Target:0.8877341571029786 || Continuity_Cost:0.014759563782718033 || Number_of_steps:7
epoch: 98 || Train_reward: -5.20370689488837 || Final_Dis_Target:0.8876074990287822 || Continuity_Cost:0.014753305003978312 || Number_of_steps:7
epoch: 99 || Train_reward: -5.2041541370672695 || Final_Dis_Target:0.8877486623106907 || Continuity_Cost:0.014747878594789654 || Number_of_steps:7
epoch: 100 || Train_reward: -5.204110973637273 || Final_Dis_Target:0.8877147620181438 || Continuity_Cost:0.014754566655028611 || Number_of_steps:7
epoch: 101 || Train_reward: -5.204605463767773 || Final_Dis_Target:0.8879438525229532 || Continuity_Cost:0.014757731696590781 || Number_of_steps:7
epoch: 102 || Train_reward: -5.204134702477443 || Final_Dis_Target:0.887736572559919 || Continuity_Cost:0.014754326548427343 || Number_of_steps:7
epoch: 103 || Train_reward: -5.204630542656653 || Final_Dis_Target:0.8878684490827208 || Continuity_Cost:0.014757232565898448 || Number_of_steps:7
epoch: 104 || Train_reward: -5.20443145369442 || Final_Dis_Target:0.8877626701790837 || Continuity_Cost:0.014757398457732052 || Number_of_steps:7
epoch: 105 || Train_reward: -5.205533141538162 || Final_Dis_Target:0.8881148890801995 || Continuity_Cost:0.014758063480257988 || Number_of_steps:7
epoch: 106 || Train_reward: -5.20393526005077 || Final_Dis_Target:0.8876645373831096 || Continuity_Cost:0.014762135106138885 || Number_of_steps:7
epoch: 107 || Train_reward: -5.203882198441613 || Final_Dis_Target:0.8876092204905311 || Continuity_Cost:0.014761094644200057 || Number_of_steps:7
epoch: 108 || Train_reward: -5.204468137274068 || Final_Dis_Target:0.8878922018652913 || Continuity_Cost:0.014761985221412033 || Number_of_steps:7
epoch: 109 || Train_reward: -5.203692586369709 || Final_Dis_Target:0.8875430508249844 || Continuity_Cost:0.014757261669728905 || Number_of_steps:7
epoch: 110 || Train_reward: -5.203672774187899 || Final_Dis_Target:0.8876422312942219 || Continuity_Cost:0.014752730203326792 || Number_of_steps:7
epoch: 111 || Train_reward: -5.204554033938937 || Final_Dis_Target:0.8879488443089001 || Continuity_Cost:0.014760173507966101 || Number_of_steps:7
epoch: 112 || Train_reward: -5.2038110870341985 || Final_Dis_Target:0.8875755942044496 || Continuity_Cost:0.014760128397028893 || Number_of_steps:7
epoch: 113 || Train_reward: -5.203935950300505 || Final_Dis_Target:0.8876641611662368 || Continuity_Cost:0.014758003817405552 || Number_of_steps:7
epoch: 114 || Train_reward: -5.204936519463148 || Final_Dis_Target:0.8879964372089635 || Continuity_Cost:0.014763530634809285 || Number_of_steps:7
epoch: 115 || Train_reward: -5.204107262505949 || Final_Dis_Target:0.8877629379061741 || Continuity_Cost:0.014763230865355581 || Number_of_steps:7
epoch: 116 || Train_reward: -5.204319267111563 || Final_Dis_Target:0.8878110301495783 || Continuity_Cost:0.014757913595531136 || Number_of_steps:7
epoch: 117 || Train_reward: -5.203811192080579 || Final_Dis_Target:0.8876951485756978 || Continuity_Cost:0.014756731980014592 || Number_of_steps:7
epoch: 118 || Train_reward: -5.20411121063124 || Final_Dis_Target:0.8877268414769914 || Continuity_Cost:0.014762523642275482 || Number_of_steps:7
epoch: 119 || Train_reward: -5.204179873506995 || Final_Dis_Target:0.887750923170676 || Continuity_Cost:0.014755436859559268 || Number_of_steps:7
epoch: 120 || Train_reward: -5.204020549999143 || Final_Dis_Target:0.8876670327545675 || Continuity_Cost:0.014756889140699059 || Number_of_steps:7
epoch: 121 || Train_reward: -5.203561517916792 || Final_Dis_Target:0.8874968639992642 || Continuity_Cost:0.014751192065887153 || Number_of_steps:7
epoch: 122 || Train_reward: -5.204126214232735 || Final_Dis_Target:0.8877311247324331 || Continuity_Cost:0.01475384779041633 || Number_of_steps:7
epoch: 123 || Train_reward: -5.204156476046382 || Final_Dis_Target:0.8877452914040505 || Continuity_Cost:0.014754814037587494 || Number_of_steps:7
epoch: 124 || Train_reward: -5.20386593332033 || Final_Dis_Target:0.8876490964539248 || Continuity_Cost:0.014753163850400597 || Number_of_steps:7
epoch: 125 || Train_reward: -5.204097483349964 || Final_Dis_Target:0.8877726622301182 || Continuity_Cost:0.014755286974832416 || Number_of_steps:7
epoch: 126 || Train_reward: -5.203887650611337 || Final_Dis_Target:0.8876000414257459 || Continuity_Cost:0.01475782337365672 || Number_of_steps:7
epoch: 127 || Train_reward: -5.203902302640454 || Final_Dis_Target:0.8876645391531751 || Continuity_Cost:0.014752690913155675 || Number_of_steps:7
epoch: 128 || Train_reward: -5.204283589997562 || Final_Dis_Target:0.8877185862812109 || Continuity_Cost:0.014752826245967299 || Number_of_steps:7
epoch: 129 || Train_reward: -5.2043632037833625 || Final_Dis_Target:0.8878390828458039 || Continuity_Cost:0.014762562932446599 || Number_of_steps:7
epoch: 130 || Train_reward: -5.20372413763835 || Final_Dis_Target:0.887576870981313 || Continuity_Cost:0.014754499716218561 || Number_of_steps:7
epoch: 131 || Train_reward: -5.203505252043104 || Final_Dis_Target:0.8874939039524582 || Continuity_Cost:0.014746325905434787 || Number_of_steps:7
epoch: 132 || Train_reward: -5.203755452185908 || Final_Dis_Target:0.8875588071467571 || Continuity_Cost:0.014750994159840047 || Number_of_steps:7
epoch: 133 || Train_reward: -5.203981099414314 || Final_Dis_Target:0.8876642427608612 || Continuity_Cost:0.014751564594917 || Number_of_steps:7
epoch: 134 || Train_reward: -5.204054929870923 || Final_Dis_Target:0.8876635534699743 || Continuity_Cost:0.014758152246940881 || Number_of_steps:7
epoch: 135 || Train_reward: -5.204789760892639 || Final_Dis_Target:0.8879152440321346 || Continuity_Cost:0.014760310295969248 || Number_of_steps:7
epoch: 136 || Train_reward: -5.204051364762193 || Final_Dis_Target:0.8877075462946774 || Continuity_Cost:0.01475502212997526 || Number_of_steps:7
epoch: 137 || Train_reward: -5.204395167931216 || Final_Dis_Target:0.8878257623489068 || Continuity_Cost:0.014755864685866982 || Number_of_steps:7
epoch: 138 || Train_reward: -5.203588782078119 || Final_Dis_Target:0.8875096443632597 || Continuity_Cost:0.014752116112504154 || Number_of_steps:7
epoch: 139 || Train_reward: -5.204033717986035 || Final_Dis_Target:0.8877193767023047 || Continuity_Cost:0.014752826245967299 || Number_of_steps:7
epoch: 140 || Train_reward: -5.203944746031252 || Final_Dis_Target:0.8876641880833998 || Continuity_Cost:0.014756964810658246 || Number_of_steps:7
epoch: 141 || Train_reward: -5.203887489955222 || Final_Dis_Target:0.8876893009231142 || Continuity_Cost:0.014759796613361686 || Number_of_steps:7
epoch: 142 || Train_reward: -5.204275399452499 || Final_Dis_Target:0.8876698040977562 || Continuity_Cost:0.014073624333832413 || Number_of_steps:7
epoch: 143 || Train_reward: -5.2425560657424874 || Final_Dis_Target:0.9041175216068489 || Continuity_Cost:0.009122533811023459 || Number_of_steps:7
epoch: 144 || Train_reward: -5.321829210218437 || Final_Dis_Target:0.932213160110442 || Continuity_Cost:0.01062278388417326 || Number_of_steps:7
epoch: 145 || Train_reward: -5.329985426030859 || Final_Dis_Target:0.9325518485004057 || Continuity_Cost:0.013894104631617665 || Number_of_steps:7
epoch: 146 || Train_reward: -5.299013598864144 || Final_Dis_Target:0.9152726658464962 || Continuity_Cost:0.014959565305616707 || Number_of_steps:7
