epoch: 37 || Test_Reward: 29.350453044933698 || Final_Distance_to_Target: 0.007628092571091361 || Continuity_Cost: 6.295325607061386 || Episode_Timesteps: 2
epoch: 38 || Test_Reward: 29.350795521523363 || Final_Distance_to_Target: 0.007600560490685123 || Continuity_Cost: 6.292545795440674 || Episode_Timesteps: 2
epoch: 39 || Test_Reward: 29.35044040467284 || Final_Distance_to_Target: 0.007631678778897938 || Continuity_Cost: 6.29197433590889 || Episode_Timesteps: 2
epoch: 40 || Test_Reward: 29.350454378009367 || Final_Distance_to_Target: 0.0076287741152667185 || Continuity_Cost: 6.294061988592148 || Episode_Timesteps: 2
epoch: 41 || Test_Reward: 29.350521862595212 || Final_Distance_to_Target: 0.0076172894733660375 || Continuity_Cost: 6.2934160232543945 || Episode_Timesteps: 2
epoch: 42 || Test_Reward: 29.350513436029377 || Final_Distance_to_Target: 0.0076237222080767575 || Continuity_Cost: 6.2925927340984344 || Episode_Timesteps: 2
epoch: 43 || Test_Reward: 29.350432587676043 || Final_Distance_to_Target: 0.007624492196427162 || Continuity_Cost: 6.293252855539322 || Episode_Timesteps: 2
epoch: 44 || Test_Reward: 29.350565295517033 || Final_Distance_to_Target: 0.007617720029105955 || Continuity_Cost: 6.293409317731857 || Episode_Timesteps: 2
epoch: 45 || Test_Reward: 29.350736033908834 || Final_Distance_to_Target: 0.007601845166521359 || Continuity_Cost: 6.294029206037521 || Episode_Timesteps: 2
epoch: 46 || Test_Reward: 29.350529825306893 || Final_Distance_to_Target: 0.007620711539978714 || Continuity_Cost: 6.29083588719368 || Episode_Timesteps: 2
epoch: 47 || Test_Reward: 29.35042282323889 || Final_Distance_to_Target: 0.0076223083010584485 || Continuity_Cost: 6.2944479286670685 || Episode_Timesteps: 2
epoch: 48 || Test_Reward: 29.350650938900785 || Final_Distance_to_Target: 0.007611635602295684 || Continuity_Cost: 6.2912605702877045 || Episode_Timesteps: 2
epoch: 49 || Test_Reward: 29.35051611258868 || Final_Distance_to_Target: 0.007617259966513255 || Continuity_Cost: 6.292107701301575 || Episode_Timesteps: 2
