epoch: 43 || Train_reward: -11.885725065225637 || Final_Dis_Target:0.9084659891809268 || Continuity_Cost:0.21946818803644294 || Number_of_steps:15
epoch: 44 || Train_reward: -10.785270664944223 || Final_Dis_Target:0.8304396543036251 || Continuity_Cost:0.1979534320550912 || Number_of_steps:14
epoch: 45 || Train_reward: -9.833612326191425 || Final_Dis_Target:0.8431086916084529 || Continuity_Cost:0.13357697842580626 || Number_of_steps:13
epoch: 46 || Train_reward: -10.813008826272847 || Final_Dis_Target:0.8605967321122123 || Continuity_Cost:0.260964360863954 || Number_of_steps:14
epoch: 47 || Train_reward: -8.491803731289954 || Final_Dis_Target:0.8897975867862331 || Continuity_Cost:0.1542214257754177 || Number_of_steps:11
epoch: 48 || Train_reward: -9.45078050476648 || Final_Dis_Target:0.8703102338459598 || Continuity_Cost:0.17516148950656218 || Number_of_steps:12
epoch: 49 || Train_reward: -10.667957859760094 || Final_Dis_Target:0.8206410807381684 || Continuity_Cost:0.23805532861472467 || Number_of_steps:14
epoch: 50 || Train_reward: -10.92057342423456 || Final_Dis_Target:0.8568339822001928 || Continuity_Cost:0.19957901312020837 || Number_of_steps:14
epoch: 51 || Train_reward: -11.237804461264927 || Final_Dis_Target:0.8456516300708086 || Continuity_Cost:0.2568236309110299 || Number_of_steps:15
epoch: 52 || Train_reward: -9.931312615996301 || Final_Dis_Target:0.8804923367139419 || Continuity_Cost:0.17024178807334595 || Number_of_steps:13
epoch: 53 || Train_reward: -10.479802466140834 || Final_Dis_Target:0.7953980258475782 || Continuity_Cost:0.19577066590537787 || Number_of_steps:14
epoch: 54 || Train_reward: -10.136237298416596 || Final_Dis_Target:0.8914141086422095 || Continuity_Cost:0.1436230932022795 || Number_of_steps:13
epoch: 55 || Train_reward: -10.524071504162926 || Final_Dis_Target:0.8052045802592859 || Continuity_Cost:0.1752630821476851 || Number_of_steps:14
epoch: 56 || Train_reward: -10.920983376710671 || Final_Dis_Target:0.873668594072297 || Continuity_Cost:0.21502658571414401 || Number_of_steps:14
epoch: 57 || Train_reward: -12.208779617194406 || Final_Dis_Target:0.8213161799047188 || Continuity_Cost:0.23020492116208432 || Number_of_steps:16
epoch: 58 || Train_reward: -10.215627045419781 || Final_Dis_Target:0.9080039430159349 || Continuity_Cost:0.1704434126520532 || Number_of_steps:13
epoch: 59 || Train_reward: -10.88334696135811 || Final_Dis_Target:0.8566794339334212 || Continuity_Cost:0.22648749940412924 || Number_of_steps:14
epoch: 60 || Train_reward: -9.25150536202697 || Final_Dis_Target:0.8435791495054872 || Continuity_Cost:0.22194957045963362 || Number_of_steps:12
epoch: 61 || Train_reward: -8.286161808168913 || Final_Dis_Target:0.8601742733676939 || Continuity_Cost:0.2877970756660431 || Number_of_steps:11
epoch: 62 || Train_reward: -12.594632590272035 || Final_Dis_Target:0.8743583184446418 || Continuity_Cost:0.22804101002757712 || Number_of_steps:16
epoch: 63 || Train_reward: -11.32672683928896 || Final_Dis_Target:0.8553687952783278 || Continuity_Cost:0.1877509741330935 || Number_of_steps:15
epoch: 64 || Train_reward: -10.715038504006081 || Final_Dis_Target:0.8401577470425705 || Continuity_Cost:0.2855622154285207 || Number_of_steps:14
epoch: 65 || Train_reward: -9.569549690420342 || Final_Dis_Target:0.8732030664539354 || Continuity_Cost:0.15166934757389117 || Number_of_steps:12
epoch: 66 || Train_reward: -10.711550129335315 || Final_Dis_Target:0.8266659795911723 || Continuity_Cost:0.20171486114182388 || Number_of_steps:14
epoch: 67 || Train_reward: -10.670487594299656 || Final_Dis_Target:0.8280762431302443 || Continuity_Cost:0.22066364933294313 || Number_of_steps:14
epoch: 68 || Train_reward: -9.931459474588126 || Final_Dis_Target:0.8635120333564775 || Continuity_Cost:0.20560350286178164 || Number_of_steps:13
epoch: 69 || Train_reward: -8.568940000131802 || Final_Dis_Target:0.8871634126738676 || Continuity_Cost:0.2757630963045567 || Number_of_steps:11
epoch: 70 || Train_reward: -11.49450695402176 || Final_Dis_Target:0.8614520176953407 || Continuity_Cost:0.1972377860341227 || Number_of_steps:15
epoch: 71 || Train_reward: -10.959317216168953 || Final_Dis_Target:0.8678603412194017 || Continuity_Cost:0.1761962108456952 || Number_of_steps:14
epoch: 72 || Train_reward: -10.956898146337974 || Final_Dis_Target:0.8426760992066104 || Continuity_Cost:0.17720707192622173 || Number_of_steps:14
epoch: 73 || Train_reward: -8.900330530312704 || Final_Dis_Target:0.7893508727805778 || Continuity_Cost:0.15220325846922242 || Number_of_steps:12
epoch: 74 || Train_reward: -10.800054446963005 || Final_Dis_Target:0.8491701183760951 || Continuity_Cost:0.2402960082651345 || Number_of_steps:14
epoch: 75 || Train_reward: -35.493548028358326 || Final_Dis_Target:0.10047905041828101 || Continuity_Cost:0.16282992202384156 || Number_of_steps:100
epoch: 76 || Train_reward: -31.852928178876155 || Final_Dis_Target:0.10287589379166567 || Continuity_Cost:0.09450898578187585 || Number_of_steps:100
epoch: 77 || Train_reward: -32.09774672531684 || Final_Dis_Target:0.10498370417657019 || Continuity_Cost:0.06813542364717028 || Number_of_steps:100
epoch: 78 || Train_reward: -32.07402868803551 || Final_Dis_Target:0.10480172934605012 || Continuity_Cost:0.11232961073313649 || Number_of_steps:100
epoch: 79 || Train_reward: -12.797590743490513 || Final_Dis_Target:0.01632010472812914 || Continuity_Cost:0.061832248122223106 || Number_of_steps:100
