epoch: 39 || Test_Reward: 29.34075298195969 || Final_Distance_to_Target: 0.008222042795099726 || Continuity_Cost: 0.007949687278596684 || Episode_Timesteps: 2
epoch: 40 || Test_Reward: 29.337791311885102 || Final_Distance_to_Target: 0.008515435989427599 || Continuity_Cost: 0.00010577410876067006 || Episode_Timesteps: 2
epoch: 41 || Test_Reward: 29.336906797952082 || Final_Distance_to_Target: 0.008530718634331807 || Continuity_Cost: 0.004498931593843736 || Episode_Timesteps: 2
epoch: 42 || Test_Reward: 29.34781309932666 || Final_Distance_to_Target: 0.007484245903694198 || Continuity_Cost: 0.023818334739189595 || Episode_Timesteps: 2
epoch: 43 || Test_Reward: 29.337628465457534 || Final_Distance_to_Target: 0.00843138894706719 || Continuity_Cost: 0.0045336757466429844 || Episode_Timesteps: 2
epoch: 44 || Test_Reward: 29.339325048755484 || Final_Distance_to_Target: 0.008286690054996897 || Continuity_Cost: 1.4970719064422155e-05 || Episode_Timesteps: 2
epoch: 45 || Test_Reward: 29.337273859049688 || Final_Distance_to_Target: 0.008570076949256818 || Continuity_Cost: 0.00011164441957589588 || Episode_Timesteps: 2
epoch: 46 || Test_Reward: 29.32820801320605 || Final_Distance_to_Target: 0.009471386890029373 || Continuity_Cost: 0.06830344791524112 || Episode_Timesteps: 2
epoch: 47 || Test_Reward: 29.32946223440378 || Final_Distance_to_Target: 0.009741119003845682 || Continuity_Cost: 0.0001906148440866673 || Episode_Timesteps: 2
epoch: 48 || Test_Reward: 29.347314269760737 || Final_Distance_to_Target: 0.0074932528348978485 || Continuity_Cost: 0.006472160021075979 || Episode_Timesteps: 2
epoch: 49 || Test_Reward: 29.339030642435517 || Final_Distance_to_Target: 0.008040882889224584 || Continuity_Cost: 0.05374457105062902 || Episode_Timesteps: 2
