epoch: 39 || Test_Reward: 29.350208118695807 || Final_Distance_to_Target: 0.007676491018185881 || Continuity_Cost: 0.8790372870862484 || Episode_Timesteps: 2
epoch: 40 || Test_Reward: 29.342564164726944 || Final_Distance_to_Target: 0.00784591895047802 || Continuity_Cost: 0.001992927172977943 || Episode_Timesteps: 2
epoch: 41 || Test_Reward: 29.34215345474001 || Final_Distance_to_Target: 0.00914828748275797 || Continuity_Cost: 0.2581956097856164 || Episode_Timesteps: 2
epoch: 42 || Test_Reward: 29.35083387241463 || Final_Distance_to_Target: 0.007554941987553547 || Continuity_Cost: 0.9714550338685513 || Episode_Timesteps: 2
epoch: 43 || Test_Reward: 29.3427169958033 || Final_Distance_to_Target: 0.008976801621497341 || Continuity_Cost: 1.7286600545048714 || Episode_Timesteps: 2
epoch: 44 || Test_Reward: 29.35054354772892 || Final_Distance_to_Target: 0.007509441920367663 || Continuity_Cost: 0.6162889301776886 || Episode_Timesteps: 2
epoch: 45 || Test_Reward: 29.350043149318108 || Final_Distance_to_Target: 0.007705128056755397 || Continuity_Cost: 0.8704259060323238 || Episode_Timesteps: 2
epoch: 46 || Test_Reward: 29.34745286015168 || Final_Distance_to_Target: 0.0074916089854186844 || Continuity_Cost: 0.0084472238086164 || Episode_Timesteps: 2
epoch: 47 || Test_Reward: 29.349757476405884 || Final_Distance_to_Target: 0.007775261559193226 || Continuity_Cost: 0.80292709171772 || Episode_Timesteps: 2
epoch: 48 || Test_Reward: -10.306899905868372 || Final_Distance_to_Target: 0.01050156353982722 || Continuity_Cost: 0.11785525130107999 || Episode_Timesteps: 100
epoch: 49 || Test_Reward: 29.341816015292064 || Final_Distance_to_Target: 0.007500162537405781 || Continuity_Cost: 0.2900015329942107 || Episode_Timesteps: 2
